wave,distance,routes,order_per_wave,robot
0,242,"[[22.75, 13.5], [20.75, 22.5], [35.75, 21.0], [35.75, 13.5], [41.0, 19.5], [45.5, 18.0], [45.5, 13.5], [47.5, 10.5], [42.25, 12.0], [26, 6.0], (0, 0), [22.75, 13.5]]",9,R1
1,254,"[[44.25, 22.5], [44.25, 15.0], [47.5, 18.0], [42.25, 13.5], [42.25, 12.0], [34.5, 9.0], [22.75, 12.0], [20.75, 9.0], (0, 0), [15.25, 10.5], [39.0, 12.0], [44.25, 22.5]]",9,R2
2,250,"[[20.75, 9.0], [20.75, 12.0], [20.75, 18.0], [20.75, 19.5], [19.5, 19.5], [19.5, 21.0], [22.75, 13.5], [35.75, 13.5], [44.25, 19.5], [47.5, 10.5], [32.5, 10.5], [15.25, 9.0], (0, 0), [20.75, 9.0]]",9,R3
3,251,"[[39.0, 9.0], [41.0, 10.5], [41.0, 15.0], [41.0, 22.5], [42.25, 18.0], [42.25, 16.5], [42.25, 15.0], [52.0, 13.5], [47.5, 10.5], [19.5, 21.0], [22.75, 16.5], (0, 0), [39.0, 9.0]]",9,R4
4,287,"[[42.25, 18.0], [44.25, 13.5], [45.5, 22.5], [47.5, 19.5], [50.75, 9.0], [41.0, 10.5], [41.0, 13.5], [39.0, 18.0], [22.75, 18.0], [22.75, 13.5], [20.75, 12.0], (0, 0), [24, 12.0], [42.25, 18.0]]",9,R5
5,215,"[[41.0, 21.0], [41.0, 15.0], [41.0, 10.5], [37.75, 10.5], [34.5, 12.0], [32.5, 10.5], [24, 10.5], (0, 0), [22.75, 13.5], [41.0, 21.0]]",9,R6
6,232,"[[41.0, 19.5], [41.0, 15.0], [32.5, 18.0], [26, 19.5], (0, 0), [28.0, 6.0], [35.75, 12.0], [47.5, 10.5], [42.25, 12.0], [41.0, 19.5]]",9,R7
7,68,"[(0, 0), [28.0, 6.0], (0, 0)]",9,R8
8,241,"[[24, 12.0], [24, 9.0], (0, 0), [15.25, 10.5], [20.75, 22.5], [35.75, 13.5], [47.5, 22.5], [48.75, 12.0], [50.75, 9.0], [44.25, 9.0], [24, 12.0]]",9,R9
9,248,"[[26, 6.0], [28.0, 12.0], [32.5, 18.0], [37.75, 21.0], [41.0, 15.0], [45.5, 15.0], [52.0, 13.5], [20.75, 18.0], (0, 0), [26, 6.0]]",9,R10
10,240,"[[47.5, 10.5], [47.5, 19.5], [44.25, 15.0], [42.25, 16.5], [39.0, 12.0], [24, 6.0], [22.75, 10.5], [22.75, 15.0], [20.75, 12.0], (0, 0), [47.5, 10.5]]",9,R1
11,182,"[[20.75, 12.0], [20.75, 13.5], [20.75, 16.5], [20.75, 22.5], [19.5, 21.0], [24, 16.5], [24, 13.5], [24, 10.5], [26, 6.0], [47.5, 9.0], (0, 0), [20.75, 12.0]]",9,R2
12,277,"[[20.75, 12.0], [20.75, 16.5], [20.75, 22.5], [19.5, 19.5], [22.75, 21.0], [22.75, 13.5], [22.75, 12.0], [24, 13.5], [45.5, 15.0], [45.5, 19.5], [47.5, 21.0], [52.0, 13.5], [48.75, 10.5], [35.75, 9.0], (0, 0), [20.75, 12.0]]",9,R3
13,74,"[(0, 0), [20.75, 16.5], (0, 0)]",9,R4
14,235,"[[22.75, 12.0], [24, 9.0], [24, 16.5], [28.0, 18.0], [32.5, 21.0], [37.75, 19.5], [45.5, 15.0], [19.5, 21.0], [20.75, 22.5], [20.75, 12.0], [19.5, 6.0], (0, 0), [22.75, 12.0]]",9,R5
