wave,distance,routes,order_per_wave,robot
0,242,"[(0, 0), [26, 6.0], [42.25, 12.0], [47.5, 10.5], [45.5, 13.5], [45.5, 18.0], [41.0, 19.5], [35.75, 21.0], [35.75, 13.5], [20.75, 22.5], [22.75, 13.5], (0, 0)]",9,R1
1,254,"[(0, 0), [15.25, 10.5], [42.25, 12.0], [42.25, 13.5], [44.25, 15.0], [44.25, 22.5], [47.5, 18.0], [39.0, 12.0], [34.5, 9.0], [22.75, 12.0], [20.75, 9.0], (0, 0)]",9,R1
2,253,"[(0, 0), [15.25, 9.0], [32.5, 10.5], [35.75, 13.5], [47.5, 10.5], [44.25, 19.5], [22.75, 13.5], [19.5, 21.0], [19.5, 19.5], [20.75, 19.5], [20.75, 18.0], [20.75, 12.0], [20.75, 9.0], (0, 0)]",9,R1
3,251,"[(0, 0), [22.75, 16.5], [19.5, 21.0], [52.0, 13.5], [47.5, 10.5], [42.25, 15.0], [42.25, 16.5], [42.25, 18.0], [41.0, 22.5], [41.0, 15.0], [41.0, 10.5], [39.0, 9.0], (0, 0)]",9,R1
4,287,"[(0, 0), [20.75, 12.0], [22.75, 13.5], [22.75, 18.0], [39.0, 18.0], [44.25, 13.5], [50.75, 9.0], [47.5, 19.5], [45.5, 22.5], [42.25, 18.0], [41.0, 13.5], [41.0, 10.5], [24, 12.0], (0, 0)]",9,R1
5,215,"[(0, 0), [24, 10.5], [32.5, 10.5], [34.5, 12.0], [37.75, 10.5], [41.0, 10.5], [41.0, 15.0], [41.0, 21.0], [22.75, 13.5], (0, 0)]",9,R1
6,235,"[(0, 0), [28.0, 6.0], [47.5, 10.5], [42.25, 12.0], [41.0, 15.0], [41.0, 19.5], [35.75, 12.0], [32.5, 18.0], [26, 19.5], (0, 0)]",9,R1
7,68,"[(0, 0), [28.0, 6.0], (0, 0)]",9,R1
8,243,"[(0, 0), [15.25, 10.5], [20.75, 22.5], [24, 12.0], [24, 9.0], [35.75, 13.5], [47.5, 22.5], [48.75, 12.0], [50.75, 9.0], [44.25, 9.0], (0, 0)]",9,R1
9,248,"[(0, 0), [26, 6.0], [28.0, 12.0], [32.5, 18.0], [37.75, 21.0], [41.0, 15.0], [45.5, 15.0], [52.0, 13.5], [20.75, 18.0], (0, 0)]",9,R1
