,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.0,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
0.1,,,,,,,,,,
0.2,,,,,,,,,,
0.30000000000000004,,,,,,,,,,
0.4,,,,,,,,,,
0.5,,,,,,,,,,
0.6,,,,,,,,,,
0.7,,,,,,,,,,
0.7999999999999999,,,,,,,,,,
0.8999999999999999,,,,,,,,,,
0.9999999999999999,,,,,,,,,,
18.715196461285522,,"[15.25, 10.5]",,,,,,,,
22.000057870292846,,,,"[20.75, 6.0]",,,,,,
22.917747456367092,,,"[20.75, 9.0]",,,,,,,
23.11774745636709,,,,,"[20.75, 9.0]",,,,,
23.61774745636709,,,,,,,,,,"[20.75, 9.0]"
24.87003337502891,,,,,,,,,"[20.75, 12.0]",
25.43863375370596,,,,,,,"[24, 6.0]",,,
25.61774745636709,,,,,"[22.75, 10.5]",,,,,
25.917747456367092,,,"[20.75, 12.0]",,,,,,,
26.500057870292846,,,,"[20.75, 10.5]",,,,,,
26.78332812825267,"[26, 6.0]",,,,,,,,,
26.996373794859473,,,,,,,,"[24, 10.5]",,
27.28332812825267,,,,,,"[26, 6.0]",,,,
27.46162430355347,,"[22.75, 15.0]",,,,,,,,
28.43863375370596,,,,,,,"[24, 9.0]",,,
34.00005787029285,,,,"[20.75, 18.0]",,,,,,
35.004138379060215,,,"[19.5, 21.0]",,,,,,,
35.68267596838075,,,,,,,,,,"[19.5, 21.0]"
36.19189044764539,,,,,"[24, 21.0]",,,,,
37.579513136111935,,,,"[24, 19.5]",,,,,,
37.69189044764539,,,,,"[24, 19.5]",,,,,
39.079513136111935,,,,"[24, 21.0]",,,,,,
39.19189044764539,,,,,"[24, 18.0]",,,,,
42.04663699905968,,,,,,,,,,"[24, 16.5]"
42.79744172310938,,,,,"[26, 15.0]",,,,,
44.10564032957268,"[42.25, 12.0]",,,,,,,,,
44.87221218325075,,,,,,,"[37.75, 18.0]",,,
45.04663699905968,,,,,,,,,,"[24, 19.5]"
45.71162430355347,,"[41.0, 15.0]",,,,,,,,
47.305052979202756,,,"[29.25, 13.5]",,,,,,,
48.84006675005782,,,,,,,,,"(0, 0)",
48.940066750057824,,,,,,,,,,
49.040066750057825,,,,,,,,,,
49.56572274653307,"[47.5, 10.5]",,,,,,,,,
50.5441974734927,,,,,,,,"[47.5, 9.0]",,
52.0441974734927,,,,,,,,"[47.5, 10.5]",,
52.21448333614467,,,,,,"[50.75, 9.0]",,,,
53.17127402199706,"[45.5, 13.5]",,,,,,,,,
53.99675989246936,,,,,,,,"[48.75, 12.0]",,
54.92437455874428,,,,,"[37.75, 12.0]",,,,,
56.52459743649564,,,"[31.25, 22.5]",,,,,,,
57.55698204403561,,"[29.25, 13.5]",,,,,,,,
57.67127402199706,"[45.5, 18.0]",,,,,,,,,
62.41469051224963,"[41.0, 19.5]",,,,,,,,,
62.45771757831973,,,,,,,"[20.75, 22.5]",,,
62.63214239412865,,,,,,,,,,"[41.0, 15.0]"
62.89698391829527,,,,,"[32.5, 6.0]",,,,,
64.64680009530102,,,,,,"[47.5, 21.0]",,,,
65.4150879352311,,,,"[48.75, 12.0]",,,,,,
67.87477292921001,"[35.75, 21.0]",,,,,,,,,
70.21980492644974,,,,,,,"[22.75, 15.0]",,,
70.53783654454959,,,,,,,,,,"[47.5, 10.5]"
71.71980492644974,,,,,,,"[22.75, 13.5]",,,
71.8940362215648,,,,,,,,"[32.5, 19.5]",,
73.49270310177809,,,,,,"[41.0, 15.0]",,,,
74.76092404525698,,,,,,,,,"[22.75, 12.0]",
