,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.0,"[22.75, 13.5]","[44.25, 22.5]","[20.75, 9.0]","[39.0, 9.0]","[42.25, 18.0]","[41.0, 21.0]","[41.0, 19.5]","(0, 0)","[24, 12.0]","[26, 6.0]"
0.1,,,,,,,,,,
2.5,,,,"[41.0, 10.5]",,,,,,
3.0,,,"[20.75, 12.0]",,,,,,"[24, 9.0]",
4.5,,,,,,,"[41.0, 15.0]",,,
4.924428900898052,,,,,"[44.25, 13.5]",,,,,
6.0,,,,,,"[41.0, 15.0]",,,,
6.324555320336759,,,,,,,,,,"[28.0, 12.0]"
7.0,,,,"[41.0, 15.0]",,,,,,
7.5,,"[44.25, 15.0]",,,,,,,,
9.0,,,"[20.75, 18.0]",,,,,,,
9.219544457292887,"[20.75, 22.5]",,,,,,,,,
10.5,,,"[20.75, 19.5]",,,"[41.0, 10.5]",,,,
11.75,,,"[19.5, 19.5]",,,,,,,
11.922951503238533,,"[47.5, 18.0]",,,,,,,,
13.25,,,"[19.5, 21.0]",,,,,,,
13.513878188659973,,,,,,,"[32.5, 18.0]",,,
13.75,,,,,,"[37.75, 10.5]",,,,
13.82455532033676,,,,,,,,,,"[32.5, 18.0]"
14.010819823591175,,,,,"[45.5, 22.5]",,,,,
14.5,,,,"[41.0, 22.5]",,,,,,
17.32945526581909,,,,,,"[34.5, 12.0]",,,,
17.616371099055165,,,,,"[47.5, 19.5]",,,,,
18.8376098462082,,"[42.25, 13.5]",,,,,,,,
19.17038542306735,,,,"[42.25, 18.0]",,,,,,
19.82945526581909,,,,,,"[32.5, 10.5]",,,,
19.871248631560672,,,,,,,,,,"[37.75, 21.0]"
20.18471022072314,,,,,,,"[26, 19.5]",,,
20.3376098462082,,"[42.25, 12.0]",,,,,,,,
20.67038542306735,,,,"[42.25, 16.5]",,,,,,
21.423891362135908,,,"[22.75, 13.5]",,,,,,,
22.17038542306735,,,,"[42.25, 15.0]",,,,,,
24.294357888974222,"[35.75, 21.0]",,,,,,,,,
26.694920663538763,,,,,,,,,,"[41.0, 15.0]"
28.32945526581909,,,,,,"[24, 10.5]",,,,
28.60784506754547,,,,,"[50.75, 9.0]",,,,,
28.632011235952593,,,,,,,,,"(0, 0)",
28.647994915505528,,"[34.5, 9.0]",,,,,,,,
28.735642126552708,,,,,,,,"[28.0, 6.0]",,
31.194920663538763,,,,,,,,,,"[45.5, 15.0]"
31.794357888974222,"[35.75, 13.5]",,,,,,,,,
32.03509525154178,,,,"[52.0, 13.5]",,,,,,
34.423891362135905,,,"[35.75, 13.5]",,,,,,,
37.44342216473777,,,,"[47.5, 10.5]",,,,,,
37.86575269560193,,,,,,,,,,"[52.0, 13.5]"
38.4725548960199,,,,,"[41.0, 10.5]",,,,,
39.76696724852521,"[41.0, 19.5]",,,,,,,,,
40.77492775114043,,"[22.75, 12.0]",,,,,,,,
41.4725548960199,,,,,"[41.0, 13.5]",,,,,
44.38047902660442,,"[20.75, 9.0]",,,,,,,,
44.51038373877778,"[45.5, 18.0]",,,,,,,,,
44.82821738547831,,,"[44.25, 19.5]",,,,,,,
46.39698379691795,,,,,"[39.0, 18.0]",,,,,
47.147207697238116,,,,,,,,,"[15.25, 10.5]",
49.01038373877778,"[45.5, 13.5]",,,,,,,,,
52.61593501424177,"[47.5, 10.5]",,,,,,,,,
52.68471022072314,,,,,,,"(0, 0)",,,
54.39704698998063,,,"[47.5, 10.5]",,,,,,,
54.52582906067856,,,,,,"(0, 0)",,,,
57.371284253105415,,,,,,,,"(0, 0)",,
57.471284253105416,,,,,,,,"[19.5, 16.5]",,
58.07601743120216,"[42.25, 12.0]",,,,,,,,,
58.971284253105416,,,,,,,,"[19.5, 18.0]",,
60.3475864796822,,,,,,,,,"[20.75, 22.5]",
62.64698379691795,,,,,"[22.75, 18.0]",,,,,
63.64166967617277,,,,,,,,"[20.75, 22.5]",,
65.14166967617277,,,,,,,,"[20.75, 21.0]",,
66.99822648297152,,"(0, 0)",,,,,,,,
67.14698379691795,,,,,"[22.75, 13.5]",,,,,
67.34743527334913,,,,"[19.5, 21.0]",,,,,,
69.39704698998062,,,"[32.5, 10.5]",,,,,,,
69.43809027139761,,,,,,,,,,"[20.75, 18.0]"
69.64166967617277,,,,,,,,"[20.75, 16.5]",,
69.64698379691795,,,,,"[20.75, 12.0]",,,,,
72.89833610114276,,,,"[22.75, 16.5]",,,,,,
75.39832963252216,"[26, 6.0]",,,,,,,,,
77.8404421642181,,,,,,,,,"[35.75, 13.5]",
80.33044883938874,,,,,,,,"[22.75, 6.0]",,
80.97979851707584,,,,,,"[22.75, 13.5]",,,,
81.32035234727584,,,,,,,"[28.0, 6.0]",,,
85.51342294425704,,"[15.25, 10.5]",,,,,,,,
86.71214156090342,,,"[15.25, 9.0]",,,,,,,
91.12150023923218,,,,,,,"[35.75, 12.0]",,,
92.64120227983379,,,,,,,,,"[47.5, 22.5]",
93.61701717194686,,,,,"(0, 0)",,,,,
96.90739131820257,,,,,,,,,,"(0, 0)"
100.71080203945148,,,,,,"[41.0, 21.0]",,,,
101.00193907300385,,,,"(0, 0)",,,,,,
102.08165776077483,"(0, 0)",,,,,,,,,
102.9668579797143,,,,,,,"[47.5, 10.5]",,,
103.21534527111208,,,,,,,,,"[48.75, 12.0]",
