,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
1,"[22.75, 13.5]","[44.25, 22.5]","[20.75, 9.0]","[39.0, 9.0]","[42.25, 18.0]","[41.0, 21.0]","[41.0, 19.5]","(0, 0)","[24, 12.0]","[26, 6.0]"
2,"[20.75, 22.5]","[44.25, 15.0]","[20.75, 12.0]","[41.0, 10.5]","[44.25, 13.5]","[41.0, 15.0]","[41.0, 15.0]","[28.0, 6.0]","[24, 9.0]","[28.0, 12.0]"
3,"[35.75, 21.0]","[47.5, 18.0]","[20.75, 18.0]","[41.0, 15.0]","[45.5, 22.5]","[41.0, 10.5]","[32.5, 18.0]","(0, 0)","(0, 0)","[32.5, 18.0]"
4,"[35.75, 13.5]","[42.25, 13.5]","[20.75, 19.5]","[41.0, 22.5]","[47.5, 19.5]","[37.75, 10.5]","[26, 19.5]","(0, 0)","[15.25, 10.5]","[37.75, 21.0]"
5,"[41.0, 19.5]","[42.25, 12.0]","[19.5, 19.5]","[42.25, 18.0]","[50.75, 9.0]","[34.5, 12.0]","(0, 0)","(0, 0)","[20.75, 22.5]","[41.0, 15.0]"
6,"[45.5, 18.0]","[34.5, 9.0]","[19.5, 21.0]","[42.25, 16.5]","[41.0, 10.5]","[32.5, 10.5]","[28.0, 6.0]","[19.5, 16.5]","[35.75, 13.5]","[45.5, 15.0]"
7,"[45.5, 13.5]","[22.75, 12.0]","[22.75, 13.5]","[42.25, 15.0]","[41.0, 13.5]","[24, 10.5]","[35.75, 12.0]","[19.5, 18.0]","[47.5, 22.5]","[52.0, 13.5]"
8,"[47.5, 10.5]","[20.75, 9.0]","[35.75, 13.5]","[52.0, 13.5]","[39.0, 18.0]","(0, 0)","[47.5, 10.5]","[20.75, 22.5]","[48.75, 12.0]","[20.75, 18.0]"
9,"[42.25, 12.0]","(0, 0)","[44.25, 19.5]","[47.5, 10.5]","[22.75, 18.0]","[22.75, 13.5]","[42.25, 12.0]","[20.75, 21.0]","[50.75, 9.0]","(0, 0)"
10,"[26, 6.0]","[15.25, 10.5]","[47.5, 10.5]","[19.5, 21.0]","[22.75, 13.5]","[41.0, 21.0]","[41.0, 19.5]","[20.75, 16.5]","[44.25, 9.0]","[26, 6.0]"
11,"(0, 0)","[39.0, 12.0]","[32.5, 10.5]","[22.75, 16.5]","[20.75, 12.0]","(0, 0)","(0, 0)","[22.75, 6.0]","[24, 12.0]","(0, 0)"
12,"[22.75, 13.5]","[44.25, 22.5]","[15.25, 9.0]","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
13,"(0, 0)","(0, 0)","(0, 0)","[39.0, 9.0]","[24, 12.0]","[26, 6.0]","[34.5, 19.5]","[15.25, 9.0]","(0, 0)","[19.5, 10.5]"
14,"(0, 0)","(0, 0)","[20.75, 9.0]","(0, 0)","[42.25, 18.0]","[22.75, 13.5]","[35.75, 22.5]","[19.5, 16.5]","(0, 0)","[19.5, 16.5]"
15,"[47.5, 10.5]","[20.75, 12.0]","(0, 0)","(0, 0)","(0, 0)","[22.75, 15.0]","[44.25, 12.0]","(0, 0)","[20.75, 16.5]","[22.75, 15.0]"
16,"[47.5, 19.5]","[20.75, 13.5]","(0, 0)","(0, 0)","(0, 0)","[22.75, 19.5]","[47.5, 9.0]","(0, 0)","(0, 0)","[24, 12.0]"
17,"[44.25, 15.0]","[20.75, 16.5]","[20.75, 12.0]","[20.75, 16.5]","[22.75, 12.0]","[24, 16.5]","(0, 0)","[45.5, 22.5]","(0, 0)","[20.75, 22.5]"
18,"[42.25, 16.5]","[20.75, 22.5]","[20.75, 16.5]","(0, 0)","[24, 9.0]","[19.5, 18.0]","[34.5, 19.5]","[31.25, 16.5]","(0, 0)","[20.75, 16.5]"
19,"[39.0, 12.0]","[19.5, 21.0]","[20.75, 22.5]","(0, 0)","[24, 16.5]","[20.75, 12.0]","(0, 0)","[24, 19.5]","[22.75, 13.5]","[20.75, 10.5]"
20,"[24, 6.0]","[24, 16.5]","[19.5, 19.5]","(0, 0)","[28.0, 18.0]","(0, 0)","(0, 0)","[24, 10.5]","[22.75, 18.0]","(0, 0)"
21,"[22.75, 10.5]","[24, 13.5]","[22.75, 21.0]","[45.5, 15.0]","[32.5, 21.0]","[50.75, 9.0]","[22.75, 15.0]","[20.75, 9.0]","[24, 21.0]","[19.5, 10.5]"
22,"[22.75, 15.0]","[24, 10.5]","[22.75, 13.5]","[35.75, 21.0]","[37.75, 19.5]","[50.75, 10.5]","[19.5, 21.0]","[20.75, 6.0]","[24, 10.5]","(0, 0)"
