,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.0,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
22.61774745636709,,,"[20.75, 9.0]",,,,,,,
25.61774745636709,,,"[20.75, 12.0]",,,,,,,
26.453969456397274,"[22.75, 13.5]",,,,,,,,,
26.68332812825267,,,,,,,,,,"[26, 6.0]"
26.832815729997478,,,,,,,,,"[24, 12.0]",
28.635642126552707,,,,,,,,"[28.0, 6.0]",,
29.832815729997478,,,,,,,,,"[24, 9.0]",
31.61774745636709,,,"[20.75, 18.0]",,,,,,,
33.007883448589425,,,,,,,,,,"[28.0, 12.0]"
33.11774745636709,,,"[20.75, 19.5]",,,,,,,
34.36774745636709,,,"[19.5, 19.5]",,,,,,,
35.67351391369016,"[20.75, 22.5]",,,,,,,,,
35.86774745636709,,,"[19.5, 21.0]",,,,,,,
40.024992192379,,,,"[39.0, 9.0]",,,,,,
40.507883448589425,,,,,,,,,,"[32.5, 18.0]"
42.524992192379,,,,"[41.0, 10.5]",,,,,,
44.041638818503,,,"[22.75, 13.5]",,,,,,,
45.40099117860754,,,,,,,"[41.0, 19.5]",,,
45.924530482085494,,,,,"[42.25, 18.0]",,,,,
46.06517122512408,,,,,,"[41.0, 21.0]",,,,
46.55457675981334,,,,,,,,,,"[37.75, 21.0]"
47.024992192379,,,,"[41.0, 15.0]",,,,,,
49.64184223011873,,"[44.25, 22.5]",,,,,,,,
49.90099117860754,,,,,,,"[41.0, 15.0]",,,
50.74832734537149,"[35.75, 21.0]",,,,,,,,,
50.848959382983544,,,,,"[44.25, 13.5]",,,,,
52.06517122512408,,,,,,"[41.0, 15.0]",,,,
53.37824879179143,,,,,,,,,,"[41.0, 15.0]"
54.524992192379,,,,"[41.0, 22.5]",,,,,,
55.46482696595007,,,,,,,,,"(0, 0)",
56.56517122512408,,,,,,"[41.0, 10.5]",,,,
57.041638818503,,,"[35.75, 13.5]",,,,,,,
57.14184223011873,,"[44.25, 15.0]",,,,,,,,
57.271284253105414,,,,,,,,"(0, 0)",,
57.87824879179143,,,,,,,,,,"[45.5, 15.0]"
58.24832734537149,"[35.75, 13.5]",,,,,,,,,
58.914869367267514,,,,,,,"[32.5, 18.0]",,,
59.195377615446354,,,,"[42.25, 18.0]",,,,,,
59.81517122512408,,,,,,"[37.75, 10.5]",,,,
59.935350305676664,,,,,"[45.5, 22.5]",,,,,
60.695377615446354,,,,"[42.25, 16.5]",,,,,,
61.56479373335726,,"[47.5, 18.0]",,,,,,,,
62.195377615446354,,,,"[42.25, 15.0]",,,,,,
63.39462649094317,,,,,,"[34.5, 12.0]",,,,
63.54090158114065,,,,,"[47.5, 19.5]",,,,,
64.5490808238546,,,,,,,,,,"[52.0, 13.5]"
65.58570139933067,,,,,,,"[26, 19.5]",,,
65.89462649094317,,,,,,"[32.5, 10.5]",,,,
66.22093670492248,"[41.0, 19.5]",,,,,,,,,
67.44596484184541,,,"[44.25, 19.5]",,,,,,,
68.47945207632692,,"[42.25, 13.5]",,,,,,,,
69.97945207632692,,"[42.25, 12.0]",,,,,,,,
70.96435319517505,"[45.5, 18.0]",,,,,,,,,
72.06008744392078,,,,"[52.0, 13.5]",,,,,,
73.9800234272356,,,,,,,,,"[15.25, 10.5]",
74.39462649094317,,,,,,"[24, 10.5]",,,,
74.53237554963096,,,,,"[50.75, 9.0]",,,,,
75.46435319517505,"[45.5, 13.5]",,,,,,,,,
77.01479444634774,,,"[47.5, 10.5]",,,,,,,
77.46841435711676,,,,"[47.5, 10.5]",,,,,,
78.28983714562425,,"[34.5, 9.0]",,,,,,,,
79.06990447063905,"[47.5, 10.5]",,,,,,,,,
82.81536380199502,,,,,,,,"[19.5, 16.5]",,
84.31536380199502,,,,,,,,"[19.5, 18.0]",,
84.39708537810539,,,,,"[41.0, 10.5]",,,,,
84.52998688759943,"[42.25, 12.0]",,,,,,,,,
87.18040220967968,,,,,,,,,"[20.75, 22.5]",
87.39708537810539,,,,,"[41.0, 13.5]",,,,,
88.98574922506236,,,,,,,,"[20.75, 22.5]",,
90.41676998125915,,"[22.75, 12.0]",,,,,,,,
90.48574922506236,,,,,,,,"[20.75, 21.0]",,
92.01479444634774,,,"[32.5, 10.5]",,,,,,,
92.32151427900344,,,,,"[39.0, 18.0]",,,,,
94.02232125672315,,"[20.75, 9.0]",,,,,,,,
94.98574922506236,,,,,,,,"[20.75, 16.5]",,
96.12141839965028,,,,,,,,,,"[20.75, 18.0]"
98.08570139933067,,,,,,,"(0, 0)",,,
100.59100028580264,,,,,,"(0, 0)",,,,
101.85229908891944,"[26, 6.0]",,,,,,,,,
104.67325789421558,,,,,,,,,"[35.75, 13.5]",
105.67452838827833,,,,,,,,"[22.75, 6.0]",,
107.37242746572812,,,,"[19.5, 21.0]",,,,,,
108.57151427900344,,,,,"[22.75, 18.0]",,,,,
109.32988901727053,,,"[15.25, 9.0]",,,,,,,
112.92332829352175,,,,"[22.75, 16.5]",,,,,,
113.07151427900344,,,,,"[22.75, 13.5]",,,,,
115.57151427900344,,,,,"[20.75, 12.0]",,,,,
116.64006871309024,,"(0, 0)",,,,,,,,
119.47401800983127,,,,,,,,,"[47.5, 22.5]",
123.59071944645524,,,,,,,,,,"(0, 0)"
126.72134352588338,,,,,,,"[28.0, 6.0]",,,
127.03758508423532,,,"(0, 0)",,,,,,,
127.04496974219991,,,,,,"[22.75, 13.5]",,,,
128.5356272171721,"(0, 0)",,,,,,,,,
129.20243734763977,,,,,,,,"(0, 0)",,
130.04816100110958,,,,,,,,,"[48.75, 12.0]",
133.65371227657357,,,,,,,,,"[50.75, 9.0]",
135.15526517437576,,"[15.25, 10.5]",,,,,,,,
136.52249141783972,,,,,,,"[35.75, 12.0]",,,
139.54154765403234,,,,,"(0, 0)",,,,,
140.15371227657357,,,,,,,,,"[44.25, 9.0]",
141.02693126538284,,,,"(0, 0)",,,,,,
146.77597326457555,,,,,,"[41.0, 21.0]",,,,
146.91013341460456,,,,,,,,"[15.25, 9.0]",,
148.36784915832186,,,,,,,"[47.5, 10.5]",,,
149.65533254060242,,,"[20.75, 9.0]",,,,,,,
150.2740475747079,,,,,,,,,,"[26, 6.0]"
153.82793157528224,,,,,,,"[42.25, 12.0]",,,
154.9895966735694,"[22.75, 13.5]",,,,,,,,,
155.5306032393879,,,,,,,,"[19.5, 16.5]",,
158.95258645220028,,"[39.0, 12.0]",,,,,,,,
160.62472837250783,,,,,,,,,"[24, 12.0]",
161.431384738155,,,,,,,"[41.0, 19.5]",,,
166.37436338402983,,,,,"[24, 12.0]",,,,,
170.69194333407418,,"[44.25, 22.5]",,,,,,,,
172.2730799969695,,,"(0, 0)",,,,,,,
176.95737570296058,,,,,,,,,,"(0, 0)"
181.05192345776186,,,,"[39.0, 9.0]",,,,,,
181.0746827882775,,,,,,,,"(0, 0)",,
181.44356612996665,"(0, 0)",,,,,,,,,
185.58536283746795,,,,,"[42.25, 18.0]",,,,,
187.45754410250532,,,,,,,,,"(0, 0)",
192.84114448969964,,,,,,"(0, 0)",,,,
196.24311337199842,,,"[20.75, 12.0]",,,,,,,
199.10461029331069,,,,,,,,,,"[19.5, 10.5]"
200.74311337199842,,,"[20.75, 16.5]",,,,,,,
205.10461029331069,,,,,,,,,,"[19.5, 16.5]"
206.74311337199842,,,"[20.75, 22.5]",,,,,,,
206.83237591676254,,,,,,,"(0, 0)",,,
208.68406555912978,,,,,,,,,,"[22.75, 15.0]"
209.99311337199842,,,"[19.5, 19.5]",,,,,,,
211.93406555912978,,,,,,,,,,"[24, 12.0]"
213.5725686378175,,,"[22.75, 21.0]",,,,,,,
213.96815518561692,,,,,,,,,"[20.75, 16.5]",
